task_id	phase	task	start	end	duration_days	status	progress_pct	evidence	note
T01	Algorithm and diagnostics	RMTGuard v3/v3.2 adaptive embedding and diagnostics	2026-04-27	2026-05-01	5	done	100	PROJECT_STATUS.md	API, adaptive embedding, graph resolution, and diagnostics implemented locally.
T02	Algorithm and diagnostics	Synthetic no-call and rare-state benchmark	2026-04-28	2026-04-30	3	done	100	results/no_call_benchmarks/no_call_summary.tsv	Pure null no-call and rare-state retention checks passed.
T03	Algorithm and diagnostics	Callability decision map for Figure 3	2026-05-01	2026-05-02	2	done	100	results/callability/no_call_decision_map.tsv	Figure 3D now exposes callability/no-call decisions from explicit flags.
T04	Algorithm and diagnostics	Rare-state guard v3.3 calibration patch	2026-05-02	2026-05-02	1	done	100	results/calibration/rare_state_power_summary.tsv	Adaptive rare-state split improves realistic rare-state power while preserving count-null no-call behavior.
T05	Public benchmark	Phase 1 public data preparation and benchmark	2026-04-29	2026-04-30	2	done	100	results/figures/source_data/figure3_public_benchmark_summary.tsv	PBMC3k, Kang, Baron, and PBMC68k source-data tables generated.
T06	Public benchmark	Four-dataset stability gate diagnostics	2026-04-30	2026-05-01	2	done	100	results/stability_benchmarks/stability_gate_diagnostics.tsv	Current stability_advantage gate remains failed against strongest comparators.
T07	Manuscript package	External pre-review triage and route reframe	2026-05-01	2026-05-02	2	done	100	results/submission/external_review_action_plan.tsv	Nature Methods frozen as no-go until P0/P1 blockers are resolved; Genome Biology fallback reframed.
T08	Manuscript package	Publication-style figures, tables, and visual audit	2026-05-01	2026-05-02	2	done	100	results/submission/publication_visual_asset_audit.tsv	Main figures rendered as PNG/PDF/TIFF; Word table pack generated; visual audit passes.
T09	Journal route	20-50 JIF distance and gap assessment	2026-05-02	2026-05-02	1	done	100	docs/jif20_50_gap_assessment.md	Current strict 20-50 route is scored and remaining blockers are mapped to next supplements.
T10	Journal route	Nature Methods next-round science gate board	2026-05-04	2026-05-04	1	done	100	docs/nature_methods_next_round_gate_board.md	Remaining 20-50 JIF blockers converted into P0/P1 gates with owners, pass criteria, stop conditions, and manual author inputs.
T11	Journal route	Nature Methods 48-hour execution packet	2026-05-04	2026-05-04	1	done	100	docs/nature_methods_48h_execution_packet.md	Claim lock, P0 ablation run sheet, null/power grid design, and annotation-boundary table generated for the next sprint.
T12	Release	Public GitHub repository, release, and Zenodo DOI	2026-05-02	2026-05-04	3	done	100	results/release/release_readiness.tsv	Public GitHub repository, v0.1.0 GitHub Release, and Zenodo DOI are complete.
